dispatch_time tabu_time diff_mins
2:58:00 2:58:00 0
2:50:00 2:50:00 0
3:02:00 3:02:00 0
2:44:00 2:44:00 0
2:36:00 2:36:00 0
2:58:00 2:58:00 0
2:35:00 2:35:00 0
3:14:00 3:14:00 0
3:33:00 3:23:00 10
3:18:00 3:18:00 0
2:39:00 2:39:00 0
3:02:00 3:02:00 0
3:18:00 3:18:00 0
3:03:00 2:58:00 5
3:27:00 3:27:00 0
3:36:00 3:36:00 0
3:21:00 3:21:00 0
2:22:00 2:22:00 0
3:31:00 3:31:00 0
3:52:00 3:52:00 0
2:57:00 2:57:00 0
2:46:00 2:46:00 0
3:48:00 3:48:00 0
3:19:00 3:11:00 8
3:04:00 3:04:00 0
3:08:00 3:08:00 0
2:58:00 2:58:00 0
2:56:00 2:56:00 0
3:35:00 3:35:00 0
3:17:00 3:17:00 0
3:32:00 3:32:00 0
3:17:00 3:17:00 0
2:57:00 2:57:00 0
3:03:00 3:03:00 0
3:12:00 3:12:00 0
2:40:00 2:40:00 0
2:58:00 2:58:00 0
3:32:00 3:32:00 0
3:22:00 3:22:00 0
3:42:00 3:42:00 0
3:08:00 3:08:00 0
3:52:00 3:50:00 2
3:10:00 3:10:00 0
3:24:00 3:20:00 4
3:02:00 3:02:00 0
2:55:00 2:55:00 0
2:59:00 2:59:00 0
3:17:00 3:17:00 0
3:15:00 3:15:00 0
2:54:00 2:54:00 0
3:23:00 3:23:00 0
3:01:00 3:01:00 0
3:48:00 3:48:00 0
3:29:00 3:29:00 0
3:09:00 3:09:00 0
2:55:00 2:49:00 6
2:43:00 2:43:00 0
2:53:00 2:53:00 0
3:26:00 3:26:00 0
3:14:00 3:06:00 8
3:07:00 3:07:00 0
2:55:00 2:55:00 0
3:54:00 3:54:00 0
3:04:00 3:04:00 0
3:16:00 3:16:00 0
2:41:00 2:41:00 0
2:57:00 2:57:00 0
3:12:00 3:12:00 0
2:44:00 2:41:00 3
2:57:00 2:57:00 0
3:12:00 3:08:00 4
3:11:00 3:11:00 0
3:13:00 3:13:00 0
3:50:00 3:50:00 0
3:19:00 3:19:00 0
3:14:00 3:14:00 0
3:56:00 3:56:00 0
3:32:00 3:32:00 0
3:49:00 3:49:00 0
3:23:00 3:21:00 2
3:10:00 3:10:00 0
3:33:00 3:33:00 0
3:09:00 3:09:00 0
3:06:00 3:06:00 0
2:57:00 2:57:00 0
3:04:00 3:04:00 0
2:48:00 2:47:00 1
3:18:00 3:18:00 0
2:50:00 2:47:00 3
3:22:00 3:22:00 0
3:06:00 3:06:00 0
2:36:00 2:36:00 0
2:53:00 2:53:00 0
3:09:00 3:09:00 0
3:12:00 3:12:00 0
3:05:00 3:05:00 0
2:36:00 2:36:00 0
3:34:00 3:34:00 0
2:52:00 2:52:00 0
3:28:00 3:28:00 0
